question_id,prompt,correct_answer,naive_answer,as_of_day,subject,domain
q79,"As of day 19, what was true about pricing_13 in medium?",v7,v20,19,pricing_13,medium
q80,"As of day 7, what was true about docs_14 in fast?",v4,v31,7,docs_14,fast
q81,"As of day 11, what was true about docs_7 in fast?",v7,v40,11,docs_7,fast
q82,"As of day 39, what was true about status_4 in fast?",v25,v41,39,status_4,fast
q83,"As of day 55, what was true about api_15 in medium?",v27,v29,55,api_15,medium
q84,"As of day 20, what was true about api_4 in medium?",v9,v21,20,api_4,medium
q85,"As of day 53, what was true about spec_15 in slow?",v6,v20,53,spec_15,slow
q86,"As of day 57, what was true about docs_14 in fast?",v28,v31,57,docs_14,fast
q88,"As of day 14, what was true about incident_24 in fast?",v9,v41,14,incident_24,fast
q89,"As of day 6, what was true about api_18 in medium?",v4,v29,6,api_18,medium
q90,"As of day 26, what was true about model_16 in medium?",v10,v33,26,model_16,medium
q91,"As of day 53, what was true about model_11 in medium?",v24,v31,53,model_11,medium
q92,"As of day 33, what was true about api_8 in medium?",v3,v27,33,api_8,medium
q94,"As of day 47, what was true about docs_7 in fast?",v30,v40,47,docs_7,fast
q95,"As of day 2, what was true about incident_8 in fast?",v2,v45,2,incident_8,fast
q96,"As of day 13, what was true about hardware_9 in slow?",v5,v18,13,hardware_9,slow
q97,"As of day 45, what was true about incident_15 in fast?",v29,v38,45,incident_15,fast
q98,"As of day 48, what was true about hardware_1 in slow?",v13,v18,48,hardware_1,slow
q99,"As of day 52, what was true about spec_7 in slow?",v1,v20,52,spec_7,slow
q100,"As of day 59, what was true about pricing_6 in medium?",v22,v26,59,pricing_6,medium
q101,"As of day 5, what was true about api_12 in medium?",v1,v27,5,api_12,medium
q102,"As of day 58, what was true about docs_0 in fast?",v38,v41,58,docs_0,fast
q103,"As of day 36, what was true about spec_15 in slow?",v6,v20,36,spec_15,slow
q104,"As of day 4, what was true about docs_0 in fast?",v4,v41,4,docs_0,fast
q105,"As of day 4, what was true about api_16 in medium?",v1,v35,4,api_16,medium
q106,"As of day 41, what was true about docs_0 in fast?",v28,v41,41,docs_0,fast
q107,"As of day 52, what was true about pricing_8 in medium?",v14,v25,52,pricing_8,medium
q108,"As of day 16, what was true about model_0 in medium?",v4,v29,16,model_0,medium
q109,"As of day 42, what was true about pricing_2 in medium?",v13,v29,42,pricing_2,medium
q110,"As of day 23, what was true about status_15 in fast?",v11,v36,23,status_15,fast
q111,"As of day 42, what was true about incident_12 in fast?",v27,v41,42,incident_12,fast
q112,"As of day 36, what was true about status_12 in fast?",v28,v35,36,status_12,fast
q113,"As of day 22, what was true about incident_12 in fast?",v15,v41,22,incident_12,fast
q114,"As of day 46, what was true about model_5 in medium?",v24,v27,46,model_5,medium
q115,"As of day 53, what was true about api_14 in medium?",v3,v18,53,api_14,medium
q116,"As of day 16, what was true about incident_12 in fast?",v13,v41,16,incident_12,fast
q117,"As of day 6, what was true about incident_20 in fast?",v5,v34,6,incident_20,fast
q118,"As of day 14, what was true about pricing_15 in medium?",v6,v19,14,pricing_15,medium
q119,"As of day 16, what was true about incident_7 in fast?",v11,v36,16,incident_7,fast
q120,"As of day 29, what was true about docs_7 in fast?",v20,v40,29,docs_7,fast
q121,"As of day 49, what was true about model_7 in medium?",v16,v20,49,model_7,medium
q122,"As of day 53, what was true about pricing_6 in medium?",v21,v26,53,pricing_6,medium
q123,"As of day 33, what was true about status_3 in fast?",v24,v41,33,status_3,fast
q124,"As of day 39, what was true about api_10 in medium?",v5,v22,39,api_10,medium
q125,"As of day 36, what was true about status_21 in fast?",v25,v48,36,status_21,fast
q126,"As of day 9, what was true about incident_12 in fast?",v3,v41,9,incident_12,fast
q127,"As of day 47, what was true about model_9 in medium?",v15,v22,47,model_9,medium
q128,"As of day 23, what was true about api_13 in medium?",v2,v26,23,api_13,medium
q129,"As of day 35, what was true about api_5 in medium?",v3,v15,35,api_5,medium
q130,"As of day 44, what was true about pricing_15 in medium?",v17,v19,44,pricing_15,medium
q131,"As of day 45, what was true about api_8 in medium?",v3,v27,45,api_8,medium
q132,"As of day 30, what was true about docs_8 in fast?",v23,v43,30,docs_8,fast
q133,"As of day 28, what was true about status_13 in fast?",v10,v50,28,status_13,fast
q134,"As of day 14, what was true about docs_3 in fast?",v6,v42,14,docs_3,fast
q135,"As of day 5, what was true about incident_19 in fast?",v5,v40,5,incident_19,fast
q136,"As of day 1, what was true about incident_19 in fast?",v1,v40,1,incident_19,fast
q137,"As of day 53, what was true about docs_0 in fast?",v34,v41,53,docs_0,fast
q138,"As of day 53, what was true about status_15 in fast?",v32,v36,53,status_15,fast
q139,"As of day 24, what was true about pricing_16 in medium?",v9,v25,24,pricing_16,medium
q140,"As of day 55, what was true about hardware_13 in slow?",v11,v14,55,hardware_13,slow
q141,"As of day 58, what was true about status_18 in fast?",v39,v41,58,status_18,fast
q142,"As of day 2, what was true about hardware_23 in slow?",v2,v17,2,hardware_23,slow
q144,"As of day 2, what was true about hardware_23 in slow?",v2,v17,2,hardware_23,slow
q145,"As of day 1, what was true about api_18 in medium?",v1,v29,1,api_18,medium
q146,"As of day 13, what was true about api_16 in medium?",v3,v35,13,api_16,medium
q147,"As of day 26, what was true about hardware_5 in slow?",v9,v16,26,hardware_5,slow
q148,"As of day 32, what was true about incident_1 in fast?",v20,v35,32,incident_1,fast
q149,"As of day 44, what was true about spec_7 in slow?",v1,v20,44,spec_7,slow
q150,"As of day 29, what was true about pricing_8 in medium?",v8,v25,29,pricing_8,medium
q151,"As of day 1, what was true about spec_24 in slow?",v1,v11,1,spec_24,slow
q152,"As of day 37, what was true about incident_23 in fast?",v20,v35,37,incident_23,fast
q153,"As of day 35, what was true about api_17 in medium?",v14,v26,35,api_17,medium
q154,"As of day 14, what was true about status_5 in fast?",v9,v40,14,status_5,fast
q155,"As of day 15, what was true about docs_10 in fast?",v8,v33,15,docs_10,fast
q156,"As of day 52, what was true about api_1 in medium?",v1,v17,52,api_1,medium
q157,"As of day 40, what was true about model_7 in medium?",v16,v20,40,model_7,medium
q158,"As of day 45, what was true about spec_18 in slow?",v10,v16,45,spec_18,slow
q159,"As of day 44, what was true about pricing_8 in medium?",v20,v25,44,pricing_8,medium
q160,"As of day 58, what was true about model_15 in medium?",v22,v24,58,model_15,medium
q161,"As of day 24, what was true about model_12 in medium?",v12,v24,24,model_12,medium
q162,"As of day 9, what was true about docs_2 in fast?",v6,v40,9,docs_2,fast
q163,"As of day 11, what was true about docs_14 in fast?",v6,v31,11,docs_14,fast
q164,"As of day 38, what was true about hardware_0 in slow?",v11,v15,38,hardware_0,slow
q165,"As of day 21, what was true about hardware_11 in slow?",v6,v19,21,hardware_11,slow
q166,"As of day 52, what was true about docs_9 in fast?",v33,v36,52,docs_9,fast
q167,"As of day 16, what was true about api_11 in medium?",v2,v20,16,api_11,medium
q168,"As of day 57, what was true about model_2 in medium?",v18,v19,57,model_2,medium
q169,"As of day 28, what was true about pricing_10 in medium?",v11,v24,28,pricing_10,medium
q170,"As of day 26, what was true about pricing_6 in medium?",v10,v26,26,pricing_6,medium
q171,"As of day 37, what was true about hardware_8 in slow?",v6,v11,37,hardware_8,slow
q172,"As of day 8, what was true about model_24 in medium?",v3,v27,8,model_24,medium
q173,"As of day 11, what was true about hardware_15 in slow?",v4,v18,11,hardware_15,slow
q174,"As of day 20, what was true about model_12 in medium?",v10,v24,20,model_12,medium
q175,"As of day 31, what was true about model_29 in medium?",v17,v24,31,model_29,medium
q176,"As of day 20, what was true about model_29 in medium?",v11,v24,20,model_29,medium
q177,"As of day 56, what was true about status_13 in fast?",v25,v50,56,status_13,fast
q178,"As of day 19, what was true about incident_24 in fast?",v16,v41,19,incident_24,fast
q179,"As of day 45, what was true about status_0 in fast?",v33,v39,45,status_0,fast
q180,"As of day 28, what was true about docs_1 in fast?",v20,v40,28,docs_1,fast
q181,"As of day 3, what was true about incident_23 in fast?",v1,v35,3,incident_23,fast
q182,"As of day 27, what was true about model_15 in medium?",v10,v24,27,model_15,medium
q183,"As of day 14, what was true about model_4 in medium?",v2,v29,14,model_4,medium
q184,"As of day 7, what was true about pricing_4 in medium?",v3,v28,7,pricing_4,medium
q185,"As of day 42, what was true about spec_24 in slow?",v6,v11,42,spec_24,slow
q186,"As of day 39, what was true about docs_15 in fast?",v30,v38,39,docs_15,fast
q187,"As of day 14, what was true about api_8 in medium?",v3,v27,14,api_8,medium
q188,"As of day 31, what was true about api_11 in medium?",v2,v20,31,api_11,medium
q189,"As of day 30, what was true about model_18 in medium?",v14,v23,30,model_18,medium
q190,"As of day 39, what was true about api_1 in medium?",v1,v17,39,api_1,medium
q191,"As of day 46, what was true about pricing_11 in medium?",v19,v24,46,pricing_11,medium
q192,"As of day 19, what was true about incident_24 in fast?",v16,v41,19,incident_24,fast
q193,"As of day 41, what was true about api_17 in medium?",v17,v26,41,api_17,medium
q194,"As of day 29, what was true about model_9 in medium?",v15,v22,29,model_9,medium
q195,"As of day 40, what was true about api_12 in medium?",v1,v27,40,api_12,medium
q196,"As of day 5, what was true about incident_15 in fast?",v5,v38,5,incident_15,fast
q197,"As of day 3, what was true about status_13 in fast?",v1,v50,3,status_13,fast
q198,"As of day 14, what was true about incident_2 in fast?",v9,v39,14,incident_2,fast
q199,"As of day 1, what was true about incident_5 in fast?",v1,v41,1,incident_5,fast
q200,"As of day 43, what was true about status_18 in fast?",v28,v41,43,status_18,fast
q201,"As of day 35, what was true about api_22 in medium?",v12,v24,35,api_22,medium
q202,"As of day 19, what was true about model_3 in medium?",v10,v19,19,model_3,medium
q203,"As of day 44, what was true about status_2 in fast?",v31,v38,44,status_2,fast
q204,"As of day 48, what was true about model_21 in medium?",v19,v23,48,model_21,medium
q205,"As of day 39, what was true about api_28 in medium?",v13,v22,39,api_28,medium
q206,"As of day 24, what was true about incident_11 in fast?",v13,v34,24,incident_11,fast
q207,"As of day 48, what was true about status_22 in fast?",v28,v38,48,status_22,fast
q208,"As of day 29, what was true about spec_8 in slow?",v1,v22,29,spec_8,slow
q209,"As of day 36, what was true about spec_4 in slow?",v4,v18,36,spec_4,slow
q210,"As of day 11, what was true about model_15 in medium?",v4,v24,11,model_15,medium
q211,"As of day 42, what was true about incident_13 in fast?",v24,v44,42,incident_13,fast
q212,"As of day 51, what was true about api_9 in medium?",v1,v19,51,api_9,medium
q213,"As of day 53, what was true about pricing_16 in medium?",v22,v25,53,pricing_16,medium
q214,"As of day 25, what was true about api_13 in medium?",v2,v26,25,api_13,medium
q215,"As of day 29, what was true about docs_6 in fast?",v20,v28,29,docs_6,fast
q216,"As of day 8, what was true about api_4 in medium?",v3,v21,8,api_4,medium
q217,"As of day 17, what was true about api_1 in medium?",v1,v17,17,api_1,medium
q218,"As of day 40, what was true about docs_9 in fast?",v26,v36,40,docs_9,fast
q219,"As of day 31, what was true about docs_6 in fast?",v15,v28,31,docs_6,fast
q220,"As of day 42, what was true about docs_12 in fast?",v26,v36,42,docs_12,fast
q221,"As of day 8, what was true about api_2 in medium?",v1,v12,8,api_2,medium
q222,"As of day 40, what was true about status_20 in fast?",v25,v37,40,status_20,fast
q223,"As of day 6, what was true about pricing_18 in medium?",v3,v23,6,pricing_18,medium
q224,"As of day 28, what was true about spec_17 in slow?",v7,v12,28,spec_17,slow
q225,"As of day 33, what was true about pricing_9 in medium?",v14,v25,33,pricing_9,medium
q226,"As of day 54, what was true about pricing_1 in medium?",v17,v27,54,pricing_1,medium
q227,"As of day 1, what was true about hardware_26 in slow?",v1,v14,1,hardware_26,slow
q228,"As of day 58, what was true about hardware_17 in slow?",v13,v14,58,hardware_17,slow
q229,"As of day 34, what was true about incident_23 in fast?",v18,v35,34,incident_23,fast
q230,"As of day 9, what was true about status_9 in fast?",v5,v42,9,status_9,fast
q231,"As of day 17, what was true about model_23 in medium?",v6,v30,17,model_23,medium
q232,"As of day 32, what was true about api_3 in medium?",v2,v25,32,api_3,medium
q233,"As of day 33, what was true about model_28 in medium?",v17,v32,33,model_28,medium
q234,"As of day 51, what was true about incident_3 in fast?",v29,v36,51,incident_3,fast
q235,"As of day 10, what was true about spec_0 in slow?",v2,v14,10,spec_0,slow
q236,"As of day 20, what was true about docs_14 in fast?",v11,v31,20,docs_14,fast
q237,"As of day 14, what was true about incident_1 in fast?",v10,v35,14,incident_1,fast
q238,"As of day 55, what was true about api_22 in medium?",v20,v24,55,api_22,medium
q239,"As of day 12, what was true about docs_16 in fast?",v8,v36,12,docs_16,fast
q240,"As of day 10, what was true about incident_14 in fast?",v9,v45,10,incident_14,fast
q241,"As of day 38, what was true about status_20 in fast?",v24,v37,38,status_20,fast
q242,"As of day 25, what was true about hardware_9 in slow?",v8,v18,25,hardware_9,slow
q243,"As of day 59, what was true about incident_13 in fast?",v37,v44,59,incident_13,fast
q244,"As of day 23, what was true about api_19 in medium?",v10,v30,23,api_19,medium
q245,"As of day 48, what was true about model_15 in medium?",v16,v24,48,model_15,medium
q246,"As of day 10, what was true about pricing_18 in medium?",v5,v23,10,pricing_18,medium
q247,"As of day 11, what was true about incident_10 in fast?",v6,v43,11,incident_10,fast
q248,"As of day 50, what was true about status_21 in fast?",v40,v48,50,status_21,fast
q249,"As of day 36, what was true about status_13 in fast?",v16,v50,36,status_13,fast
q250,"As of day 34, what was true about spec_26 in slow?",v7,v9,34,spec_26,slow
q251,"As of day 31, what was true about docs_13 in fast?",v20,v42,31,docs_13,fast
q252,"As of day 59, what was true about status_9 in fast?",v41,v42,59,status_9,fast
q253,"As of day 36, what was true about pricing_2 in medium?",v17,v29,36,pricing_2,medium
q254,"As of day 7, what was true about incident_14 in fast?",v5,v45,7,incident_14,fast
q255,"As of day 2, what was true about status_19 in fast?",v1,v42,2,status_19,fast
q256,"As of day 20, what was true about docs_13 in fast?",v13,v42,20,docs_13,fast
q257,"As of day 44, what was true about incident_22 in fast?",v25,v34,44,incident_22,fast
q258,"As of day 56, what was true about status_2 in fast?",v40,v38,56,status_2,fast
q259,"As of day 53, what was true about pricing_16 in medium?",v22,v25,53,pricing_16,medium
q260,"As of day 32, what was true about hardware_3 in slow?",v6,v13,32,hardware_3,slow
q261,"As of day 29, what was true about model_26 in medium?",v14,v24,29,model_26,medium
q262,"As of day 9, what was true about model_24 in medium?",v4,v27,9,model_24,medium
q263,"As of day 18, what was true about incident_0 in fast?",v13,v28,18,incident_0,fast
q264,"As of day 34, what was true about docs_1 in fast?",v24,v40,34,docs_1,fast
q266,"As of day 40, what was true about api_17 in medium?",v17,v26,40,api_17,medium
q267,"As of day 6, what was true about api_6 in medium?",v3,v29,6,api_6,medium
q268,"As of day 54, what was true about api_14 in medium?",v3,v18,54,api_14,medium
q269,"As of day 20, what was true about incident_16 in fast?",v10,v35,20,incident_16,fast
q270,"As of day 17, what was true about model_7 in medium?",v8,v20,17,model_7,medium
q271,"As of day 37, what was true about pricing_0 in medium?",v15,v23,37,pricing_0,medium
q272,"As of day 33, what was true about incident_10 in fast?",v18,v43,33,incident_10,fast
q273,"As of day 59, what was true about model_11 in medium?",v26,v31,59,model_11,medium
q274,"As of day 55, what was true about status_15 in fast?",v33,v36,55,status_15,fast
q275,"As of day 37, what was true about incident_0 in fast?",v19,v28,37,incident_0,fast
q277,"As of day 21, what was true about api_19 in medium?",v7,v30,21,api_19,medium
q278,"As of day 45, what was true about docs_13 in fast?",v31,v42,45,docs_13,fast
q279,"As of day 3, what was true about spec_26 in slow?",v3,v9,3,spec_26,slow
q280,"As of day 3, what was true about incident_2 in fast?",v1,v39,3,incident_2,fast
q281,"As of day 22, what was true about pricing_14 in medium?",v10,v23,22,pricing_14,medium
q282,"As of day 51, what was true about incident_15 in fast?",v33,v38,51,incident_15,fast
q283,"As of day 18, what was true about status_11 in fast?",v13,v41,18,status_11,fast
q284,"As of day 27, what was true about incident_16 in fast?",v19,v35,27,incident_16,fast
q285,"As of day 59, what was true about model_1 in medium?",v20,v21,59,model_1,medium
q286,"As of day 35, what was true about api_18 in medium?",v8,v29,35,api_18,medium
q287,"As of day 17, what was true about status_15 in fast?",v11,v36,17,status_15,fast
q288,"As of day 5, what was true about spec_27 in slow?",v1,v15,5,spec_27,slow
q289,"As of day 26, what was true about incident_13 in fast?",v14,v44,26,incident_13,fast
q290,"As of day 16, what was true about status_3 in fast?",v12,v41,16,status_3,fast
q291,"As of day 55, what was true about incident_12 in fast?",v38,v41,55,incident_12,fast
q292,"As of day 18, what was true about spec_11 in slow?",v1,v20,18,spec_11,slow
q293,"As of day 41, what was true about docs_2 in fast?",v28,v40,41,docs_2,fast
q294,"As of day 42, what was true about hardware_10 in slow?",v8,v10,42,hardware_10,slow
q295,"As of day 37, what was true about hardware_20 in slow?",v5,v12,37,hardware_20,slow
q296,"As of day 32, what was true about api_26 in medium?",v13,v23,32,api_26,medium
q297,"As of day 34, what was true about model_19 in medium?",v9,v23,34,model_19,medium
q298,"As of day 51, what was true about incident_7 in fast?",v30,v36,51,incident_7,fast
q299,"As of day 11, what was true about docs_14 in fast?",v6,v31,11,docs_14,fast
q300,"As of day 26, what was true about api_21 in medium?",v13,v27,26,api_21,medium
q301,"As of day 38, what was true about pricing_10 in medium?",v13,v24,38,pricing_10,medium
q302,"As of day 26, what was true about docs_0 in fast?",v18,v41,26,docs_0,fast
q303,"As of day 6, what was true about hardware_6 in slow?",v1,v11,6,hardware_6,slow
q304,"As of day 6, what was true about api_29 in medium?",v4,v25,6,api_29,medium
q305,"As of day 38, what was true about hardware_0 in slow?",v11,v15,38,hardware_0,slow
q306,"As of day 59, what was true about status_12 in fast?",v46,v35,59,status_12,fast
q307,"As of day 5, what was true about api_13 in medium?",v1,v26,5,api_13,medium
q308,"As of day 36, what was true about docs_6 in fast?",v17,v28,36,docs_6,fast
q309,"As of day 12, what was true about api_6 in medium?",v2,v29,12,api_6,medium
q310,"As of day 44, what was true about spec_0 in slow?",v2,v14,44,spec_0,slow
q311,"As of day 51, what was true about api_7 in medium?",v4,v23,51,api_7,medium
q312,"As of day 56, what was true about status_5 in fast?",v37,v40,56,status_5,fast
q313,"As of day 7, what was true about docs_9 in fast?",v3,v36,7,docs_9,fast
q314,"As of day 18, what was true about spec_1 in slow?",v2,v19,18,spec_1,slow
q315,"As of day 51, what was true about incident_20 in fast?",v27,v34,51,incident_20,fast
q316,"As of day 1, what was true about model_18 in medium?",v1,v23,1,model_18,medium
q317,"As of day 56, what was true about hardware_24 in slow?",v8,v10,56,hardware_24,slow
q318,"As of day 44, what was true about incident_1 in fast?",v27,v35,44,incident_1,fast
q319,"As of day 53, what was true about status_1 in fast?",v33,v39,53,status_1,fast
q320,"As of day 5, what was true about hardware_25 in slow?",v2,v19,5,hardware_25,slow
q321,"As of day 26, what was true about status_18 in fast?",v16,v41,26,status_18,fast
q322,"As of day 47, what was true about incident_15 in fast?",v30,v38,47,incident_15,fast
q323,"As of day 37, what was true about docs_10 in fast?",v21,v33,37,docs_10,fast
q324,"As of day 31, what was true about api_21 in medium?",v14,v27,31,api_21,medium
q325,"As of day 14, what was true about incident_17 in fast?",v6,v39,14,incident_17,fast
q326,"As of day 9, what was true about status_6 in fast?",v7,v39,9,status_6,fast
q327,"As of day 55, what was true about docs_4 in fast?",v46,v49,55,docs_4,fast
q329,"As of day 1, what was true about docs_11 in fast?",v1,v36,1,docs_11,fast
q330,"As of day 44, what was true about status_12 in fast?",v25,v35,44,status_12,fast
q331,"As of day 26, what was true about incident_15 in fast?",v18,v38,26,incident_15,fast
q332,"As of day 52, what was true about api_19 in medium?",v18,v30,52,api_19,medium
q333,"As of day 47, what was true about model_9 in medium?",v15,v22,47,model_9,medium
q334,"As of day 35, what was true about status_9 in fast?",v24,v42,35,status_9,fast
q335,"As of day 54, what was true about pricing_18 in medium?",v20,v23,54,pricing_18,medium
q336,"As of day 46, what was true about incident_6 in fast?",v27,v38,46,incident_6,fast
q337,"As of day 50, what was true about docs_7 in fast?",v32,v40,50,docs_7,fast
q338,"As of day 31, what was true about docs_11 in fast?",v18,v36,31,docs_11,fast
q339,"As of day 10, what was true about docs_1 in fast?",v6,v40,10,docs_1,fast
q340,"As of day 1, what was true about incident_19 in fast?",v1,v40,1,incident_19,fast
q341,"As of day 54, what was true about spec_24 in slow?",v8,v11,54,spec_24,slow
q342,"As of day 41, what was true about docs_2 in fast?",v28,v40,41,docs_2,fast
q343,"As of day 45, what was true about status_18 in fast?",v34,v41,45,status_18,fast
q344,"As of day 57, what was true about docs_18 in fast?",v34,v33,57,docs_18,fast
q345,"As of day 24, what was true about model_16 in medium?",v12,v33,24,model_16,medium
q346,"As of day 25, what was true about spec_17 in slow?",v5,v12,25,spec_17,slow
q347,"As of day 25, what was true about api_13 in medium?",v2,v26,25,api_13,medium
q348,"As of day 19, what was true about pricing_12 in medium?",v12,v27,19,pricing_12,medium
q349,"As of day 20, what was true about incident_17 in fast?",v16,v39,20,incident_17,fast
q350,"As of day 13, what was true about docs_8 in fast?",v8,v43,13,docs_8,fast
q351,"As of day 3, what was true about spec_11 in slow?",v1,v20,3,spec_11,slow
q352,"As of day 30, what was true about model_12 in medium?",v14,v24,30,model_12,medium
q353,"As of day 40, what was true about docs_17 in fast?",v32,v48,40,docs_17,fast
q355,"As of day 19, what was true about api_5 in medium?",v3,v15,19,api_5,medium
q356,"As of day 39, what was true about docs_6 in fast?",v18,v28,39,docs_6,fast
q357,"As of day 59, what was true about spec_8 in slow?",v1,v22,59,spec_8,slow
q358,"As of day 42, what was true about docs_2 in fast?",v32,v40,42,docs_2,fast
q359,"As of day 49, what was true about incident_20 in fast?",v26,v34,49,incident_20,fast
q360,"As of day 39, what was true about docs_5 in fast?",v19,v36,39,docs_5,fast
q361,"As of day 45, what was true about incident_3 in fast?",v24,v36,45,incident_3,fast
